skill,courses,difficulty,time_estimate
jenkins,"[""Jenkins Documentation"", ""Jenkins Tutorial - TutorialsPoint"", ""Learn Jenkins - Udemy""]",intermediate,1-2 months
selenium,"[""Selenium Documentation"", ""Selenium WebDriver with Java - Udemy"", ""Test Automation University""]",intermediate,2-3 months
cypress,"[""Cypress Documentation"", ""Test Automation with Cypress - Udemy"", ""Cypress Real World App""]",intermediate,1-2 months
jest,"[""Jest Documentation"", ""Testing JavaScript - Kent C. Dodds"", ""JavaScript Testing Best Practices""]",intermediate,1 month
pytest,"[""pytest Documentation"", ""Python Testing 101 with pytest"", ""Test-Driven Development with Python - Book""]",intermediate,1 month
agile,"[""Agile Fundamentals - Coursera"", ""Scrum.org Resources"", ""Agile Manifesto & Principles""]",beginner,2-4 weeks
scrum,"[""Professional Scrum Master I - Scrum.org"", ""Scrum Guide"", ""Scrum Mastery - Udemy""]",beginner,2-4 weeks
jira,"[""Jira Documentation - Atlassian"", ""Learn Jira - Coursera"", ""Jira Tutorial - YouTube""]",beginner,1 week
graphql,"[""How to GraphQL - Tutorial"", ""GraphQL Documentation"", ""Full Stack GraphQL Applications - Book""]",intermediate,1-2 months
rest api,"[""RESTful API Design - Best Practices"", ""Building REST APIs - Pluralsight"", ""REST API Tutorial""]",intermediate,1-2 months
html,"[""HTML Documentation - MDN"", ""HTML & CSS - freeCodeCamp"", ""W3Schools HTML Tutorial""]",beginner,2-4 weeks
css,"[""CSS Documentation - MDN"", ""CSS - The Complete Guide - Udemy"", ""CSS Tricks""]",beginner,1 month
sass,"[""Sass Documentation"", ""Advanced CSS and Sass - Udemy"", ""Sass Guidelines""]",intermediate,2-3 weeks
bootstrap,"[""Bootstrap Documentation"", ""Bootstrap 5 Tutorial - W3Schools"", ""Bootstrap 5 Course - freeCodeCamp""]",beginner,1-2 weeks
tailwind css,"[""Tailwind CSS Documentation"", ""Tailwind CSS Course - Scrimba"", ""Tailwind Labs YouTube""]",intermediate,1-2 weeks
webpack,"[""Webpack Documentation"", ""Webpack 5 Course - Udemy"", ""SurviveJS - Webpack""]",intermediate,1-2 weeks
elasticsearch,"[""Elasticsearch Documentation"", ""Complete Guide to Elasticsearch - Udemy"", ""Elastic Training & Certification""]",advanced,2-3 months
kafka,"[""Apache Kafka Documentation"", ""Apache Kafka Series - Udemy"", ""Kafka: The Definitive Guide - Book""]",advanced,2-3 months
nginx,"[""NGINX Documentation"", ""NGINX Fundamentals - Udemy"", ""NGINX Cookbook - O'Reilly""]",intermediate,1 month
linux,"[""Linux Journey"", ""Linux Command Line - Book"", ""Linux Foundation Training""]",intermediate,2-3 months
rust,"[""The Rust Programming Language - Book"", ""Rust Documentation"", ""Rustlings - Small Exercises""]",advanced,3-4 months
go,"[""A Tour of Go - Official Tutorial"", ""Go Documentation"", ""Learn Go with Tests""]",intermediate,2-3 months
kotlin,"[""Kotlin Documentation"", ""Kotlin for Android Developers - Udemy"", ""Kotlin Koans - Interactive""]",intermediate,2-3 months
swift,"[""Swift Documentation - swift.org"", ""100 Days of Swift - Hacking with Swift"", ""iOS & Swift - The Complete iOS App Development Bootcamp""]",intermediate,2-3 months
ruby,"[""Ruby Documentation"", ""The Odin Project - Ruby"", ""Learn Ruby the Hard Way""]",intermediate,2-3 months
php,"[""PHP Documentation"", ""PHP for Beginners - Laracasts"", ""Modern PHP - Book""]",intermediate,2-3 months
matlab,"[""MATLAB Onramp - Free Tutorial"", ""MATLAB Documentation"", ""MATLAB Programming for Engineers - Coursera""]",intermediate,2-3 months
r,"[""R for Data Science - Book"", ""R Documentation"", ""Statistics with R - Coursera""]",intermediate,2-3 months
scala,"[""Scala Documentation"", ""Functional Programming in Scala - Coursera"", ""Rock the JVM""]",advanced,3-4 months
blockchain,"[""Blockchain Basics - Coursera"", ""Mastering Blockchain - Book"", ""Blockchain Council Certifications""]",advanced,3-4 months
solidity,"[""CryptoZombies - Interactive Tutorial"", ""Solidity Documentation"", ""Ethereum and Solidity - Udemy""]",advanced,2-3 months
ethereum,"[""Ethereum.org Documentation"", ""Mastering Ethereum - Book"", ""ConsenSys Academy""]",advanced,3-4 months
web3.js,"[""Web3.js Documentation"", ""Ethereum JavaScript API"", ""Building Web3 Dapps - Tutorial""]",advanced,2-3 months
unity,"[""Unity Learn - Official Tutorials"", ""Complete C# Unity Game Developer - Udemy"", ""Unity Documentation""]",intermediate,3-4 months
unreal engine,"[""Unreal Online Learning"", ""Unreal Engine 5 Course - Udemy"", ""Unreal Documentation""]",advanced,4-6 months
ansible,"[""Ansible Documentation"", ""Ansible for DevOps - Book"", ""Learn Ansible - KodeKloud""]",intermediate,1-2 months
prometheus,"[""Prometheus Documentation"", ""Monitoring with Prometheus - Book"", ""Prometheus Certified Associate""]",intermediate,1-2 months
grafana,"[""Grafana Documentation"", ""Grafana Tutorials"", ""Observability with Grafana - Course""]",intermediate,1 month
spacy,"[""spaCy Documentation"", ""Advanced NLP with spaCy - Course"", ""spaCy 101""]",intermediate,1-2 months
nltk,"[""NLTK Documentation"", ""Natural Language Processing with Python - Book"", ""NLTK Tutorials""]",intermediate,1-2 months
opencv,"[""OpenCV Documentation"", ""OpenCV Python Tutorial"", ""Computer Vision Course - Udemy""]",advanced,2-3 months
pytorch,"[""PyTorch Tutorials"", ""Deep Learning with PyTorch - Manning"", ""Fast.ai Practical Deep Learning""]",advanced,3-4 months
keras,"[""Keras Documentation"", ""Deep Learning with Python - François Chollet"", ""Keras Tutorial - TensorFlow""]",intermediate,2-3 months
scikit-learn,"[""Scikit-learn Documentation"", ""Machine Learning with Python - Coursera"", ""Hands-On Machine Learning - Book""]",intermediate,2-3 months
jupyter,"[""Jupyter Documentation"", ""Jupyter Notebook Tutorial"", ""Data Science Handbook""]",beginner,1 week
spark,"[""Apache Spark Documentation"", ""Spark - The Definitive Guide"", ""Apache Spark with Scala - Udemy""]",advanced,3-4 months
hadoop,"[""Hadoop Documentation"", ""Hadoop - The Definitive Guide"", ""Big Data Hadoop Tutorial - Udemy""]",advanced,3-4 months
airflow,"[""Apache Airflow Documentation"", ""Data Pipelines with Apache Airflow - Book"", ""Airflow Tutorial""]",intermediate,1-2 months
